Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: wormhole
Architecture: wormhole, Worker cores: 72
Sorting CSV by 'HOST START TS' column...
Using operations after 'L3_mlp'.
Using operations until 'lm_head'.
Detected data from 32 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID      Total %  Bound  OP Code                                       Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs       FLOPs %  Math Fidelity            
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 17377    0.0 %         ReshapeViewDeviceOperation                         13        83 μs                   72                                                      BF16 => BF16
 17416    0.0 %         LayerNormDeviceOperation                           10       192 μs      2,483 μs     16                                                BF16, BF16 => BF16
 17437    0.0 %         ReshapeViewDeviceOperation                         22        53 μs      4,664 μs     72                                                      BF16 => BF16
 17471    5.7 %         TypecastDeviceOperation                            15         8 μs  1,578,804 μs     72                                                      BF16 => FP32
 17497    0.2 %   SLOW  MatmulDeviceOperation 32 x 5120 x 160               5        74 μs     68,843 μs      5   20 GB/s   7.0 %  0.7 TFLOPs    6.9 %  HiFi2 FP32 x BFP8 => FP32
 17523    0.4 %         UnaryDeviceOperation                               28         5 μs     98,571 μs     72                                                      FP32 => FP32
 17560    1.1 %         BinaryNgDeviceOperation                             6         4 μs    317,022 μs     72                                                FP32, FP32 => FP32
 17584    0.1 %         ReshapeViewDeviceOperation                          2         8 μs     17,096 μs     72                                                      FP32 => FP32
 17629    0.1 %         TypecastDeviceOperation                            22         4 μs     37,863 μs     72                                                      FP32 => BF16
 17665    0.0 %         FillPadDeviceOperation                             13        18 μs     13,443 μs     16                                                      BF16 => BF16
 17702    0.3 %         TopKDeviceOperation                                19        99 μs     77,925 μs     16                                                      BF16 => BF16
 17729    0.0 %         SliceDeviceOperation                               13         2 μs      2,647 μs     16                                                      BF16 => BF16
 17761    0.1 %         SliceDeviceOperation                               13         2 μs     19,621 μs     16                                                  UINT16 => UINT16
 17771    0.0 %         TypecastDeviceOperation                            24         3 μs      4,988 μs     16                                                      BF16 => FP32
 17826    0.0 %         FillPadDeviceOperation                             12         5 μs     12,860 μs     16                                                      FP32 => FP32
 17835    0.1 %         ReduceDeviceOperation                              24         3 μs     30,966 μs     16                                                      FP32 => FP32
 17875    0.2 %         ReshapeViewDeviceOperation                         28        12 μs     49,014 μs      1                                                      FP32 => FP32
 17921    0.0 %         TypecastDeviceOperation                            13         2 μs      2,403 μs      1                                                      FP32 => BF16
 17932    0.0 %         FillPadDeviceOperation                             25         5 μs     12,534 μs      1                                                      BF16 => BF16
 17986    0.1 %         PadDeviceOperation                                 12        35 μs     15,989 μs      2                                                      BF16 => BF16
 18007    0.0 %         FillPadDeviceOperation                              7         5 μs     13,643 μs      1                                                      BF16 => BF16
 18054    0.3 %         TopKDeviceOperation                                19        44 μs     79,965 μs      1                                                      BF16 => BF16
 18081    0.0 %         SliceDeviceOperation                               13         1 μs      2,640 μs      1                                                      BF16 => BF16
 18110    0.0 %         SliceDeviceOperation                               23         1 μs      6,415 μs      1                                                  UINT16 => UINT16
 18143    0.1 %         TypecastDeviceOperation                            15         2 μs     39,552 μs      1                                                   UINT16 => INT32
 18161    0.0 %         ReshapeViewDeviceOperation                          1         5 μs      2,686 μs     16                                                    INT32 => INT32
 18218    0.2 %         UntilizeWithUnpaddingDeviceOperation                8         2 μs     62,758 μs     16                                                    INT32 => INT32
 18231    0.0 %         UntilizeWithUnpaddingDeviceOperation                7         2 μs      3,405 μs     16                                                    INT32 => INT32
 18253    0.1 %         ConcatDeviceOperation                              26         2 μs     14,468 μs     32                                             INT32, INT32 => INT32
 18307    0.2 %         PermuteDeviceOperation                             16         3 μs     47,882 μs     16                                                    INT32 => INT32
 18320    0.1 %         TilizeWithValPaddingDeviceOperation                 2         7 μs     37,698 μs     16                                                    INT32 => INT32
 18362    5.3 %         AllGatherDeviceOperation                            0        78 μs  1,467,701 μs     20                                                    INT32 => INT32
 18386    0.1 %         ReshapeViewDeviceOperation                          0        24 μs     25,918 μs      2                                                    INT32 => INT32
 18416    0.2 %         SliceDeviceOperation                                2         1 μs     44,490 μs      2                                                    INT32 => INT32
 18446    0.1 %         UntilizeWithUnpaddingDeviceOperation               27        13 μs     15,803 μs      2                                                    INT32 => INT32
 18480    0.1 %         SliceDeviceOperation                                2         2 μs     18,978 μs     64                                                    INT32 => INT32
 18517    0.0 %         TilizeWithValPaddingDeviceOperation                30         8 μs      3,519 μs      2                                                    INT32 => INT32
 18566    0.0 %         BinaryNgDeviceOperation                            19         3 μs      1,174 μs     72                                             INT32, INT32 => INT32
 18585    0.0 %         ReshapeViewDeviceOperation                          5         6 μs      1,348 μs      2                                                    INT32 => INT32
 18628    0.2 %         UntilizeWithUnpaddingDeviceOperation               17         3 μs     64,177 μs      1                                                    INT32 => INT32
 18661    2.2 %         ScatterDeviceOperation                             18         8 μs    624,040 μs      1                                               FP32, INT32 => FP32
 18672    0.1 %         TilizeWithValPaddingDeviceOperation                 2        12 μs     30,239 μs      1                                                      FP32 => FP32
 18716    0.0 %         ReshapeViewDeviceOperation                         21         6 μs      2,376 μs      2                                                      FP32 => FP32
 18736    0.0 %         UntilizeWithUnpaddingDeviceOperation                2        13 μs      2,085 μs      2                                                      FP32 => FP32
 18787    0.1 %         MeshPartitionDeviceOperation                       25         2 μs     40,125 μs     16                                                      FP32 => FP32
 18802    0.1 %         TilizeWithValPaddingDeviceOperation                 0         7 μs     30,258 μs      1                                                      FP32 => FP32
 18857    0.1 %         TransposeDeviceOperation                            9         2 μs     41,187 μs     72                                                      FP32 => FP32
 18869    0.0 %         TypecastDeviceOperation                            30         2 μs      2,808 μs      1                                                      FP32 => BF16
 18916    0.2 %         UntilizeWithUnpaddingDeviceOperation               17         2 μs     65,707 μs      1                                                      BF16 => BF16
 18954    1.6 %         ConcatDeviceOperation                               8         3 μs    457,325 μs     32                                                BF16, BF16 => BF16
 18970    0.0 %         ConcatDeviceOperation                               4         3 μs      7,573 μs     32                                                BF16, BF16 => BF16
 18988    0.0 %         ConcatDeviceOperation                              25         3 μs        201 μs     32                                                BF16, BF16 => BF16
 19049    0.0 %         ConcatDeviceOperation                               9         3 μs        392 μs     32                                                BF16, BF16 => BF16
 19078    0.0 %         ConcatDeviceOperation                              19         3 μs        355 μs     32                                                BF16, BF16 => BF16
 19104    0.0 %         ConcatDeviceOperation                              14         2 μs     11,764 μs     72                                                BF16, BF16 => BF16
 19128    0.1 %         TilizeWithValPaddingDeviceOperation                 6         4 μs     14,034 μs      5                                                      BF16 => BF16
 19167    0.0 %         TypecastDeviceOperation                            15         3 μs      1,095 μs      5                                                      BF16 => FP32
 19189    0.0 %         TransposeDeviceOperation                           30         3 μs      2,165 μs     72                                                      FP32 => FP32
 19237    0.3 %         BinaryNgDeviceOperation                            18         4 μs     96,097 μs     72                                                FP32, FP32 => BF16
 19248    0.0 %         TypecastDeviceOperation                             2         2 μs      1,743 μs      5                                                      BF16 => FP32
 19302    0.2 %         TernaryDeviceOperation                             19        10 μs     52,070 μs     72                                                FP32, FP32 => FP32
 19333    0.0 %         TypecastDeviceOperation                            18         3 μs      2,533 μs      5                                                      FP32 => BF16
 19354    0.1 %         FillPadDeviceOperation                              4        10 μs     41,793 μs      1                                                      BF16 => BF16
 19387    0.2 %         TopKDeviceOperation                                20        98 μs     48,756 μs      1                                                      BF16 => BF16
 19408    0.0 %         SliceDeviceOperation                                2         1 μs      1,302 μs      1                                                      BF16 => BF16
 19455    0.0 %         SliceDeviceOperation                               15         1 μs        203 μs      1                                                  UINT16 => UINT16
 19485    0.0 %         TypecastDeviceOperation                            22         2 μs        297 μs      1                                                   UINT16 => INT32
 19502    0.0 %         TypecastDeviceOperation                            27         2 μs        165 μs      1                                                   INT32 => UINT32
 19560    0.0 %         ReshapeViewDeviceOperation                         10         6 μs      1,681 μs     16                                                  UINT32 => UINT32
 19587    0.0 %         UntilizeWithUnpaddingDeviceOperation               16         5 μs      2,025 μs     16                                                  UINT32 => UINT32
 19602    0.0 %         UntilizeWithUnpaddingDeviceOperation                0         5 μs      2,955 μs     16                                                  UINT32 => UINT32
 19645    0.3 %         PermuteDeviceOperation                             22         3 μs     74,883 μs     16                                                  UINT32 => UINT32
 19668    2.2 %         PermuteDeviceOperation                             29         3 μs    614,061 μs     16                                                  UINT32 => UINT32
 19707    0.2 %         ConcatDeviceOperation                              20         2 μs     45,728 μs     32                                          UINT32, UINT32 => UINT32
 19751    0.1 %         PermuteDeviceOperation                             11         3 μs     16,699 μs     16                                                  UINT32 => UINT32
 19764    0.0 %         TilizeWithValPaddingDeviceOperation                29         7 μs     13,437 μs     16                                                  UINT32 => UINT32
 19787    0.1 %         AllBroadcastDeviceOperation                         8        50 μs     24,959 μs      4                                                      FP32 => FP32
 19830    0.2 %         UntilizeWithUnpaddingDeviceOperation               31        10 μs     67,527 μs      1                                                      FP32 => FP32
 19852    0.0 %         UntilizeWithUnpaddingDeviceOperation               25        10 μs      3,372 μs      1                                                      FP32 => FP32
 19910    0.0 %         UntilizeWithUnpaddingDeviceOperation               19        10 μs        105 μs      1                                                      FP32 => FP32
 19942    0.0 %         UntilizeWithUnpaddingDeviceOperation               19        10 μs        374 μs      1                                                      FP32 => FP32
 19969    0.1 %         ConcatDeviceOperation                              13         2 μs     15,423 μs     64                                                FP32, FP32 => FP32
 19996    0.1 %         TilizeWithValPaddingDeviceOperation                21         5 μs     38,071 μs      2                                                      FP32 => FP32
 20021    0.0 %         ReshapeViewDeviceOperation                         30        38 μs      3,611 μs     72                                                      FP32 => FP32
 20046    0.3 %         TypecastDeviceOperation                            27         3 μs     74,403 μs     16                                                    UINT32 => FP32
 20096    2.5 %   SLOW  MatmulDeviceOperation 32 x 32 x 32                 14        88 μs    691,933 μs      1    2 GB/s   0.5 %  0.0 TFLOPs    0.9 %  HiFi3 FP32 x FP32 => FP32
 20115    0.0 %         ReshapeViewDeviceOperation                         28         8 μs      5,592 μs      4                                                      FP32 => FP32
 20169    0.1 %         TypecastDeviceOperation                             9         3 μs     39,065 μs      4                                                    FP32 => UINT32
 20185    0.2 %         UntilizeWithUnpaddingDeviceOperation                5         5 μs     65,199 μs      1                                                  UINT32 => UINT32
 20222    0.2 %         TypecastDeviceOperation                            23        13 μs     44,918 μs     72                                                      FP32 => BF16
 20235    0.2 %         UntilizeWithUnpaddingDeviceOperation               24        62 μs     67,712 μs     64                                                      BF16 => BF16
 20282    0.1 %         EmbeddingsDeviceOperation                           4         2 μs     18,002 μs     72                                              UINT32, BF16 => BF16
 20304    0.0 %         TilizeWithValPaddingDeviceOperation                 2         6 μs     10,776 μs      4                                                      BF16 => BF16
 20356    0.0 %         TypecastDeviceOperation                            17         2 μs      2,176 μs      4                                                      BF16 => FP32
 20386    0.0 %         ReshapeViewDeviceOperation                         12        19 μs     13,873 μs      1                                                      FP32 => FP32
 20417    0.0 %         FillPadDeviceOperation                             13         5 μs     12,101 μs      1                                                      FP32 => FP32
 20434    0.0 %         ReduceDeviceOperation                               0         2 μs      2,104 μs      1                                                      FP32 => FP32
 20482    0.4 %         BinaryNgDeviceOperation                            12         3 μs    100,920 μs     72                                                FP32, FP32 => FP32
